fpath,label-0,label-1
F:\OnekeyDS\CT\crop_sur\210.nii.png,0.98235816,0.017641868
F:\OnekeyDS\CT\crop_sur\51.nii.png,0.8985972,0.10140276
F:\OnekeyDS\CT\crop_sur\41.nii.png,0.7316194,0.26838052
F:\OnekeyDS\CT\crop_sur\3.nii.png,0.84435177,0.15564817
F:\OnekeyDS\CT\crop_sur\69.nii.png,0.8054924,0.19450763
F:\OnekeyDS\CT\crop_sur\115.nii.png,0.87152576,0.12847419
F:\OnekeyDS\CT\crop_sur\113.nii.png,0.4329402,0.5670598
F:\OnekeyDS\CT\crop_sur\30.nii.png,0.8085666,0.19143346
F:\OnekeyDS\CT\crop_sur\128.nii.png,0.93212646,0.067873515
F:\OnekeyDS\CT\crop_sur\155.nii.png,0.8763588,0.1236412
F:\OnekeyDS\CT\crop_sur\58.nii.png,0.8379308,0.16206925
F:\OnekeyDS\CT\crop_sur\148.nii.png,0.8096056,0.19039439
F:\OnekeyDS\CT\crop_sur\96.nii.png,0.49091747,0.50908256
F:\OnekeyDS\CT\crop_sur\27.nii.png,0.18767808,0.8123219
F:\OnekeyDS\CT\crop_sur\193.nii.png,0.5171215,0.48287854
F:\OnekeyDS\CT\crop_sur\166.nii.png,0.73052955,0.26947045
F:\OnekeyDS\CT\crop_sur\124.nii.png,0.7402437,0.2597563
F:\OnekeyDS\CT\crop_sur\17.nii.png,0.9164077,0.08359231
F:\OnekeyDS\CT\crop_sur\80.nii.png,0.87817717,0.121822864
F:\OnekeyDS\CT\crop_sur\59.nii.png,0.9213316,0.07866844
F:\OnekeyDS\CT\crop_sur\172.nii.png,0.6377862,0.36221382
F:\OnekeyDS\CT\crop_sur\140.nii.png,0.7860382,0.2139617
F:\OnekeyDS\CT\crop_sur\147.nii.png,0.31352794,0.6864721
F:\OnekeyDS\CT\crop_sur\112.nii.png,0.180179,0.81982106
F:\OnekeyDS\CT\crop_sur\84.nii.png,0.95399296,0.046007074
F:\OnekeyDS\CT\crop_sur\92.nii.png,0.09409961,0.9059004
F:\OnekeyDS\CT\crop_sur\151.nii.png,0.5006555,0.49934453
F:\OnekeyDS\CT\crop_sur\47.nii.png,0.8342772,0.16572282
F:\OnekeyDS\CT\crop_sur\225.nii.png,0.39132062,0.6086794
F:\OnekeyDS\CT\crop_sur\191.nii.png,0.86526906,0.13473089
