fpath,label-0,label-1
F:\OnekeyDS\CT\crop_sur\78.nii.png,0.84783417,0.1521658
F:\OnekeyDS\CT\crop_sur\49.nii.png,0.82428753,0.17571245
F:\OnekeyDS\CT\crop_sur\166.nii.png,0.45504096,0.54495907
F:\OnekeyDS\CT\crop_sur\198.nii.png,0.62841904,0.37158096
F:\OnekeyDS\CT\crop_sur\16.nii.png,0.9214426,0.07855737
F:\OnekeyDS\CT\crop_sur\102.nii.png,0.4081272,0.5918729
F:\OnekeyDS\CT\crop_sur\10.nii.png,0.41146058,0.5885394
F:\OnekeyDS\CT\crop_sur\136.nii.png,0.80536425,0.1946358
F:\OnekeyDS\CT\crop_sur\72.nii.png,0.8195623,0.18043768
F:\OnekeyDS\CT\crop_sur\86.nii.png,0.42973033,0.57026964
F:\OnekeyDS\CT\crop_sur\126.nii.png,0.73838323,0.2616168
F:\OnekeyDS\CT\crop_sur\215.nii.png,0.7999273,0.20007272
F:\OnekeyDS\CT\crop_sur\190.nii.png,0.69283044,0.30716956
F:\OnekeyDS\CT\crop_sur\165.nii.png,0.8354064,0.16459359
F:\OnekeyDS\CT\crop_sur\6.nii.png,0.85289466,0.14710528
F:\OnekeyDS\CT\crop_sur\41.nii.png,0.276684,0.723316
F:\OnekeyDS\CT\crop_sur\147.nii.png,0.45622477,0.5437752
F:\OnekeyDS\CT\crop_sur\157.nii.png,0.4973289,0.50267106
F:\OnekeyDS\CT\crop_sur\127.nii.png,0.7665384,0.23346166
F:\OnekeyDS\CT\crop_sur\85.nii.png,0.7102551,0.289745
F:\OnekeyDS\CT\crop_sur\3.nii.png,0.59520936,0.4047907
F:\OnekeyDS\CT\crop_sur\9.nii.png,0.81243473,0.18756528
F:\OnekeyDS\CT\crop_sur\120.nii.png,0.8045194,0.1954806
F:\OnekeyDS\CT\crop_sur\30.nii.png,0.51115835,0.48884174
F:\OnekeyDS\CT\crop_sur\167.nii.png,0.78908426,0.21091568
F:\OnekeyDS\CT\crop_sur\80.nii.png,0.7529617,0.24703832
F:\OnekeyDS\CT\crop_sur\197.nii.png,0.8175866,0.1824134
F:\OnekeyDS\CT\crop_sur\67.nii.png,0.6976014,0.30239856
F:\OnekeyDS\CT\crop_sur\82.nii.png,0.7961919,0.20380814
F:\OnekeyDS\CT\crop_sur\191.nii.png,0.5755217,0.4244782
F:\OnekeyDS\CT\crop_sur\227.nii.png,0.6937152,0.30628487
F:\OnekeyDS\CT\crop_sur\110.nii.png,0.7243576,0.27564242
F:\OnekeyDS\CT\crop_sur\83.nii.png,0.741397,0.258603
F:\OnekeyDS\CT\crop_sur\144.nii.png,0.77554154,0.22445849
F:\OnekeyDS\CT\crop_sur\188.nii.png,0.7624969,0.23750311
F:\OnekeyDS\CT\crop_sur\201.nii.png,0.672942,0.32705802
F:\OnekeyDS\CT\crop_sur\211.nii.png,0.9610062,0.03899374
F:\OnekeyDS\CT\crop_sur\142.nii.png,0.7718777,0.22812232
F:\OnekeyDS\CT\crop_sur\31.nii.png,0.80594003,0.19406
F:\OnekeyDS\CT\crop_sur\99.nii.png,0.6393847,0.36061537
F:\OnekeyDS\CT\crop_sur\172.nii.png,0.7518926,0.24810739
F:\OnekeyDS\CT\crop_sur\156.nii.png,0.3749826,0.6250174
F:\OnekeyDS\CT\crop_sur\178.nii.png,0.43536115,0.5646388
F:\OnekeyDS\CT\crop_sur\145.nii.png,0.8947368,0.10526313
F:\OnekeyDS\CT\crop_sur\13.nii.png,0.5771558,0.4228442
F:\OnekeyDS\CT\crop_sur\158.nii.png,0.90738046,0.09261959
F:\OnekeyDS\CT\crop_sur\162.nii.png,0.9284322,0.071567744
F:\OnekeyDS\CT\crop_sur\112.nii.png,0.536064,0.463936
F:\OnekeyDS\CT\crop_sur\185.nii.png,0.8434464,0.15655364
F:\OnekeyDS\CT\crop_sur\62.nii.png,0.7819863,0.21801373
F:\OnekeyDS\CT\crop_sur\138.nii.png,0.70811146,0.29188854
F:\OnekeyDS\CT\crop_sur\163.nii.png,0.43959722,0.56040275
F:\OnekeyDS\CT\crop_sur\210.nii.png,0.63102496,0.36897504
F:\OnekeyDS\CT\crop_sur\105.nii.png,0.77180487,0.22819516
F:\OnekeyDS\CT\crop_sur\73.nii.png,0.9378274,0.062172666
F:\OnekeyDS\CT\crop_sur\65.nii.png,0.89138114,0.10861881
F:\OnekeyDS\CT\crop_sur\21.nii.png,0.62163234,0.3783677
F:\OnekeyDS\CT\crop_sur\177.nii.png,0.91757464,0.08242533
F:\OnekeyDS\CT\crop_sur\64.nii.png,0.52633536,0.47366467
F:\OnekeyDS\CT\crop_sur\4.nii.png,0.7807556,0.21924444
F:\OnekeyDS\CT\crop_sur\28.nii.png,0.7264259,0.27357405
F:\OnekeyDS\CT\crop_sur\36.nii.png,0.8051179,0.19488207
F:\OnekeyDS\CT\crop_sur\2.nii.png,0.877068,0.122932054
F:\OnekeyDS\CT\crop_sur\20.nii.png,0.8726038,0.12739621
F:\OnekeyDS\CT\crop_sur\155.nii.png,0.8291982,0.1708018
F:\OnekeyDS\CT\crop_sur\128.nii.png,0.71654075,0.28345922
F:\OnekeyDS\CT\crop_sur\199.nii.png,0.94963056,0.05036946
F:\OnekeyDS\CT\crop_sur\229.nii.png,0.9453003,0.054699685
F:\OnekeyDS\CT\crop_sur\183.nii.png,0.8776041,0.12239591
F:\OnekeyDS\CT\crop_sur\161.nii.png,0.5602865,0.43971342
F:\OnekeyDS\CT\crop_sur\54.nii.png,0.73250914,0.26749086
F:\OnekeyDS\CT\crop_sur\206.nii.png,0.6285338,0.37146622
F:\OnekeyDS\CT\crop_sur\11.nii.png,0.88914603,0.11085403
F:\OnekeyDS\CT\crop_sur\230.nii.png,0.7722611,0.22773895
F:\OnekeyDS\CT\crop_sur\131.nii.png,0.8903056,0.109694354
F:\OnekeyDS\CT\crop_sur\232.nii.png,0.74486953,0.25513047
F:\OnekeyDS\CT\crop_sur\48.nii.png,0.7147683,0.28523168
F:\OnekeyDS\CT\crop_sur\23.nii.png,0.40398094,0.59601915
F:\OnekeyDS\CT\crop_sur\174.nii.png,0.96077913,0.039220836
F:\OnekeyDS\CT\crop_sur\26.nii.png,0.7781864,0.22181356
F:\OnekeyDS\CT\crop_sur\47.nii.png,0.76361763,0.23638234
F:\OnekeyDS\CT\crop_sur\1.nii.png,0.83397835,0.1660216
F:\OnekeyDS\CT\crop_sur\35.nii.png,0.85847425,0.14152575
F:\OnekeyDS\CT\crop_sur\51.nii.png,0.52746576,0.47253427
F:\OnekeyDS\CT\crop_sur\113.nii.png,0.6386513,0.36134866
F:\OnekeyDS\CT\crop_sur\189.nii.png,0.6519496,0.34805036
F:\OnekeyDS\CT\crop_sur\117.nii.png,0.75446826,0.24553181
F:\OnekeyDS\CT\crop_sur\226.nii.png,0.91853327,0.08146677
F:\OnekeyDS\CT\crop_sur\19.nii.png,0.3983282,0.6016718
F:\OnekeyDS\CT\crop_sur\59.nii.png,0.60155714,0.39844283
F:\OnekeyDS\CT\crop_sur\151.nii.png,0.6025944,0.39740565
F:\OnekeyDS\CT\crop_sur\88.nii.png,0.8630612,0.1369388
F:\OnekeyDS\CT\crop_sur\104.nii.png,0.8261412,0.17385884
F:\OnekeyDS\CT\crop_sur\148.nii.png,0.67255205,0.32744795
F:\OnekeyDS\CT\crop_sur\192.nii.png,0.8418047,0.1581953
F:\OnekeyDS\CT\crop_sur\96.nii.png,0.85707116,0.14292887
F:\OnekeyDS\CT\crop_sur\57.nii.png,0.433873,0.566127
F:\OnekeyDS\CT\crop_sur\217.nii.png,0.71908486,0.28091514
F:\OnekeyDS\CT\crop_sur\69.nii.png,0.88159305,0.118407
F:\OnekeyDS\CT\crop_sur\68.nii.png,0.4912447,0.5087553
F:\OnekeyDS\CT\crop_sur\40.nii.png,0.6412497,0.3587503
F:\OnekeyDS\CT\crop_sur\52.nii.png,0.7015486,0.29845142
F:\OnekeyDS\CT\crop_sur\76.nii.png,0.5414534,0.45854655
F:\OnekeyDS\CT\crop_sur\233.nii.png,0.55393517,0.4460648
F:\OnekeyDS\CT\crop_sur\60.nii.png,0.69455963,0.30544037
F:\OnekeyDS\CT\crop_sur\103.nii.png,0.81043637,0.18956362
F:\OnekeyDS\CT\crop_sur\25.nii.png,0.2726414,0.72735864
F:\OnekeyDS\CT\crop_sur\234.nii.png,0.8166789,0.18332107
F:\OnekeyDS\CT\crop_sur\235.nii.png,0.8563707,0.14362936
F:\OnekeyDS\CT\crop_sur\214.nii.png,0.7989045,0.2010955
F:\OnekeyDS\CT\crop_sur\140.nii.png,0.77228916,0.22771083
F:\OnekeyDS\CT\crop_sur\79.nii.png,0.8878078,0.11219218
F:\OnekeyDS\CT\crop_sur\209.nii.png,0.6583547,0.34164536
F:\OnekeyDS\CT\crop_sur\193.nii.png,0.6820295,0.31797054
F:\OnekeyDS\CT\crop_sur\169.nii.png,0.7940682,0.20593184
F:\OnekeyDS\CT\crop_sur\132.nii.png,0.68748957,0.31251046
F:\OnekeyDS\CT\crop_sur\94.nii.png,0.7615641,0.23843591
F:\OnekeyDS\CT\crop_sur\143.nii.png,0.7112914,0.28870854
F:\OnekeyDS\CT\crop_sur\123.nii.png,0.7891448,0.21085514
F:\OnekeyDS\CT\crop_sur\124.nii.png,0.9372692,0.0627308
F:\OnekeyDS\CT\crop_sur\180.nii.png,0.40925997,0.59074
F:\OnekeyDS\CT\crop_sur\58.nii.png,0.39830023,0.6016998
F:\OnekeyDS\CT\crop_sur\176.nii.png,0.66408706,0.33591297
F:\OnekeyDS\CT\crop_sur\171.nii.png,0.87793,0.12207004
F:\OnekeyDS\CT\crop_sur\141.nii.png,0.59490836,0.40509164
F:\OnekeyDS\CT\crop_sur\221.nii.png,0.68614,0.3138599
F:\OnekeyDS\CT\crop_sur\130.nii.png,0.5998786,0.4001214
F:\OnekeyDS\CT\crop_sur\205.nii.png,0.5907029,0.4092972
F:\OnekeyDS\CT\crop_sur\61.nii.png,0.6190661,0.38093385
F:\OnekeyDS\CT\crop_sur\100.nii.png,0.7607481,0.23925193
F:\OnekeyDS\CT\crop_sur\56.nii.png,0.50933415,0.49066585
F:\OnekeyDS\CT\crop_sur\137.nii.png,0.5314152,0.46858478
F:\OnekeyDS\CT\crop_sur\50.nii.png,0.21045747,0.7895425
F:\OnekeyDS\CT\crop_sur\228.nii.png,0.576367,0.42363295
F:\OnekeyDS\CT\crop_sur\66.nii.png,0.4797928,0.52020717
F:\OnekeyDS\CT\crop_sur\202.nii.png,0.50896156,0.49103847
F:\OnekeyDS\CT\crop_sur\121.nii.png,0.242458,0.757542
F:\OnekeyDS\CT\crop_sur\213.nii.png,0.6190149,0.38098508
F:\OnekeyDS\CT\crop_sur\194.nii.png,0.77771556,0.22228444
F:\OnekeyDS\CT\crop_sur\24.nii.png,0.25711894,0.742881
F:\OnekeyDS\CT\crop_sur\27.nii.png,0.318442,0.68155795
F:\OnekeyDS\CT\crop_sur\70.nii.png,0.41357657,0.5864234
F:\OnekeyDS\CT\crop_sur\14.nii.png,0.67433786,0.32566208
F:\OnekeyDS\CT\crop_sur\195.nii.png,0.6461652,0.35383484
F:\OnekeyDS\CT\crop_sur\98.nii.png,0.37772965,0.62227035
F:\OnekeyDS\CT\crop_sur\164.nii.png,0.27679375,0.7232062
