fpath,label-0,label-1
F:\OnekeyDS\CT\crop_sur\33.nii.png,0.7725922,0.22740778
F:\OnekeyDS\CT\crop_sur\140.nii.png,0.65196794,0.34803206
F:\OnekeyDS\CT\crop_sur\233.nii.png,0.21657166,0.7834283
F:\OnekeyDS\CT\crop_sur\205.nii.png,0.47458613,0.5254138
F:\OnekeyDS\CT\crop_sur\35.nii.png,0.8323302,0.16766977
F:\OnekeyDS\CT\crop_sur\65.nii.png,0.98604625,0.013953729
F:\OnekeyDS\CT\crop_sur\105.nii.png,0.8333968,0.16660318
F:\OnekeyDS\CT\crop_sur\32.nii.png,0.9191012,0.080898814
F:\OnekeyDS\CT\crop_sur\177.nii.png,0.5756137,0.42438632
F:\OnekeyDS\CT\crop_sur\174.nii.png,0.73980445,0.26019555
F:\OnekeyDS\CT\crop_sur\198.nii.png,0.86467355,0.1353265
F:\OnekeyDS\CT\crop_sur\26.nii.png,0.85482603,0.14517392
F:\OnekeyDS\CT\crop_sur\141.nii.png,0.45490056,0.54509944
F:\OnekeyDS\CT\crop_sur\212.nii.png,0.81567633,0.18432364
F:\OnekeyDS\CT\crop_sur\21.nii.png,0.72589535,0.27410465
F:\OnekeyDS\CT\crop_sur\88.nii.png,0.9299977,0.070002325
F:\OnekeyDS\CT\crop_sur\59.nii.png,0.82468194,0.175318
F:\OnekeyDS\CT\crop_sur\151.nii.png,0.44724852,0.5527515
F:\OnekeyDS\CT\crop_sur\199.nii.png,0.91894454,0.081055515
F:\OnekeyDS\CT\crop_sur\196.nii.png,0.6309991,0.36900085
F:\OnekeyDS\CT\crop_sur\200.nii.png,0.755694,0.244306
F:\OnekeyDS\CT\crop_sur\183.nii.png,0.50279903,0.49720097
F:\OnekeyDS\CT\crop_sur\231.nii.png,0.29453826,0.7054618
F:\OnekeyDS\CT\crop_sur\72.nii.png,0.76861066,0.23138937
F:\OnekeyDS\CT\crop_sur\167.nii.png,0.845877,0.15412293
F:\OnekeyDS\CT\crop_sur\222.nii.png,0.82941216,0.17058791
F:\OnekeyDS\CT\crop_sur\31.nii.png,0.75479555,0.24520451
F:\OnekeyDS\CT\crop_sur\220.nii.png,0.85667604,0.14332399
F:\OnekeyDS\CT\crop_sur\11.nii.png,0.6616579,0.338342
F:\OnekeyDS\CT\crop_sur\38.nii.png,0.20273903,0.797261
F:\OnekeyDS\CT\crop_sur\54.nii.png,0.57522607,0.42477393
F:\OnekeyDS\CT\crop_sur\175.nii.png,0.9339696,0.06603037
F:\OnekeyDS\CT\crop_sur\42.nii.png,0.9176604,0.0823396
F:\OnekeyDS\CT\crop_sur\14.nii.png,0.89971894,0.10028106
F:\OnekeyDS\CT\crop_sur\92.nii.png,0.1114538,0.88854617
F:\OnekeyDS\CT\crop_sur\62.nii.png,0.9796183,0.020381639
F:\OnekeyDS\CT\crop_sur\67.nii.png,0.798077,0.20192306
F:\OnekeyDS\CT\crop_sur\39.nii.png,0.85710424,0.14289577
F:\OnekeyDS\CT\crop_sur\3.nii.png,0.7250312,0.27496883
F:\OnekeyDS\CT\crop_sur\58.nii.png,0.6627101,0.33728996
F:\OnekeyDS\CT\crop_sur\117.nii.png,0.71284276,0.28715727
F:\OnekeyDS\CT\crop_sur\95.nii.png,0.70739806,0.29260194
F:\OnekeyDS\CT\crop_sur\16.nii.png,0.90431553,0.09568447
F:\OnekeyDS\CT\crop_sur\29.nii.png,0.73523504,0.26476502
