fpath,label-0,label-1
F:\OnekeyDS\CT\crop_sur\154.nii.png,0.89268535,0.107314646
F:\OnekeyDS\CT\crop_sur\197.nii.png,0.5419589,0.45804104
F:\OnekeyDS\CT\crop_sur\104.nii.png,0.936752,0.06324798
F:\OnekeyDS\CT\crop_sur\159.nii.png,0.8506268,0.14937316
F:\OnekeyDS\CT\crop_sur\133.nii.png,0.7242217,0.27577823
F:\OnekeyDS\CT\crop_sur\176.nii.png,0.91424644,0.08575349
F:\OnekeyDS\CT\crop_sur\214.nii.png,0.9166251,0.083374895
F:\OnekeyDS\CT\crop_sur\124.nii.png,0.88764006,0.1123599
F:\OnekeyDS\CT\crop_sur\219.nii.png,0.85767424,0.14232573
F:\OnekeyDS\CT\crop_sur\87.nii.png,0.93884957,0.061150424
F:\OnekeyDS\CT\crop_sur\160.nii.png,0.91494924,0.08505072
F:\OnekeyDS\CT\crop_sur\34.nii.png,0.45695063,0.54304934
F:\OnekeyDS\CT\crop_sur\210.nii.png,0.805619,0.194381
F:\OnekeyDS\CT\crop_sur\24.nii.png,0.5765797,0.4234203
F:\OnekeyDS\CT\crop_sur\145.nii.png,0.8002224,0.19977757
F:\OnekeyDS\CT\crop_sur\198.nii.png,0.94631666,0.053683307
F:\OnekeyDS\CT\crop_sur\50.nii.png,0.6114322,0.38856784
F:\OnekeyDS\CT\crop_sur\126.nii.png,0.73601687,0.2639831
F:\OnekeyDS\CT\crop_sur\33.nii.png,0.66594374,0.3340563
F:\OnekeyDS\CT\crop_sur\175.nii.png,0.9707199,0.029280148
F:\OnekeyDS\CT\crop_sur\28.nii.png,0.5576344,0.44236562
F:\OnekeyDS\CT\crop_sur\185.nii.png,0.8152475,0.1847525
F:\OnekeyDS\CT\crop_sur\107.nii.png,0.90243655,0.09756349
F:\OnekeyDS\CT\crop_sur\26.nii.png,0.8413449,0.15865515
F:\OnekeyDS\CT\crop_sur\199.nii.png,0.89336365,0.106636345
F:\OnekeyDS\CT\crop_sur\3.nii.png,0.8260283,0.17397171
F:\OnekeyDS\CT\crop_sur\36.nii.png,0.8687212,0.13127886
F:\OnekeyDS\CT\crop_sur\195.nii.png,0.77559763,0.2244024
F:\OnekeyDS\CT\crop_sur\164.nii.png,0.5964218,0.40357825
F:\OnekeyDS\CT\crop_sur\91.nii.png,0.80407435,0.19592564
F:\OnekeyDS\CT\crop_sur\192.nii.png,0.77105117,0.22894879
F:\OnekeyDS\CT\crop_sur\233.nii.png,0.49624413,0.5037559
F:\OnekeyDS\CT\crop_sur\130.nii.png,0.899241,0.10075901
F:\OnekeyDS\CT\crop_sur\78.nii.png,0.92350596,0.076494046
F:\OnekeyDS\CT\crop_sur\19.nii.png,0.44151998,0.55848
F:\OnekeyDS\CT\crop_sur\163.nii.png,0.77648383,0.22351621
F:\OnekeyDS\CT\crop_sur\40.nii.png,0.55767,0.44233
F:\OnekeyDS\CT\crop_sur\234.nii.png,0.97574323,0.02425678
F:\OnekeyDS\CT\crop_sur\64.nii.png,0.5441141,0.4558859
F:\OnekeyDS\CT\crop_sur\47.nii.png,0.9366934,0.06330666
F:\OnekeyDS\CT\crop_sur\123.nii.png,0.8571858,0.14281422
F:\OnekeyDS\CT\crop_sur\0.nii.png,0.95498604,0.04501391
F:\OnekeyDS\CT\crop_sur\180.nii.png,0.72289354,0.27710643
F:\OnekeyDS\CT\crop_sur\228.nii.png,0.9106451,0.08935492
F:\OnekeyDS\CT\crop_sur\137.nii.png,0.9250993,0.0749007
F:\OnekeyDS\CT\crop_sur\144.nii.png,0.9424625,0.057537477
F:\OnekeyDS\CT\crop_sur\17.nii.png,0.9544385,0.045561425
F:\OnekeyDS\CT\crop_sur\31.nii.png,0.975903,0.024097076
F:\OnekeyDS\CT\crop_sur\112.nii.png,0.7896575,0.2103425
F:\OnekeyDS\CT\crop_sur\156.nii.png,0.5373106,0.46268937
F:\OnekeyDS\CT\crop_sur\83.nii.png,0.93915766,0.060842298
F:\OnekeyDS\CT\crop_sur\2.nii.png,0.9641752,0.035824776
F:\OnekeyDS\CT\crop_sur\76.nii.png,0.60344607,0.39655396
F:\OnekeyDS\CT\crop_sur\49.nii.png,0.9576002,0.042399842
F:\OnekeyDS\CT\crop_sur\93.nii.png,0.73536205,0.26463795
F:\OnekeyDS\CT\crop_sur\220.nii.png,0.26733184,0.73266816
F:\OnekeyDS\CT\crop_sur\114.nii.png,0.958976,0.041024026
F:\OnekeyDS\CT\crop_sur\23.nii.png,0.5350735,0.4649265
F:\OnekeyDS\CT\crop_sur\94.nii.png,0.68713886,0.31286108
F:\OnekeyDS\CT\crop_sur\72.nii.png,0.89240026,0.10759973
F:\OnekeyDS\CT\crop_sur\96.nii.png,0.9276344,0.07236566
F:\OnekeyDS\CT\crop_sur\59.nii.png,0.84746605,0.15253392
F:\OnekeyDS\CT\crop_sur\191.nii.png,0.94693816,0.053061884
F:\OnekeyDS\CT\crop_sur\202.nii.png,0.91565615,0.08434382
F:\OnekeyDS\CT\crop_sur\147.nii.png,0.16698055,0.83301944
F:\OnekeyDS\CT\crop_sur\103.nii.png,0.6381294,0.36187056
F:\OnekeyDS\CT\crop_sur\181.nii.png,0.6352201,0.36477992
F:\OnekeyDS\CT\crop_sur\38.nii.png,0.50410825,0.49589172
F:\OnekeyDS\CT\crop_sur\95.nii.png,0.63931483,0.36068514
F:\OnekeyDS\CT\crop_sur\68.nii.png,0.91803086,0.08196909
F:\OnekeyDS\CT\crop_sur\226.nii.png,0.5688085,0.43119147
F:\OnekeyDS\CT\crop_sur\215.nii.png,0.65183467,0.34816524
F:\OnekeyDS\CT\crop_sur\165.nii.png,0.8930612,0.1069388
F:\OnekeyDS\CT\crop_sur\48.nii.png,0.50183403,0.49816594
F:\OnekeyDS\CT\crop_sur\13.nii.png,0.42734015,0.57265985
F:\OnekeyDS\CT\crop_sur\141.nii.png,0.22507145,0.77492857
F:\OnekeyDS\CT\crop_sur\113.nii.png,0.48745492,0.5125451
F:\OnekeyDS\CT\crop_sur\189.nii.png,0.38606474,0.61393523
F:\OnekeyDS\CT\crop_sur\35.nii.png,0.56108123,0.43891868
F:\OnekeyDS\CT\crop_sur\86.nii.png,0.3848054,0.6151945
F:\OnekeyDS\CT\crop_sur\135.nii.png,0.5421392,0.45786083
F:\OnekeyDS\CT\crop_sur\231.nii.png,0.2990564,0.70094365
F:\OnekeyDS\CT\crop_sur\151.nii.png,0.4005897,0.5994103
